"Time (ms)";"Recording (a.u.)"
4.475586196E2;1.919614246E-2
4.475794538E2;1.791436506E-2
4.476002879E2;1.663258766E-2
4.476211220E2;1.568651387E-2
4.476419561E2;1.498458815E-2
4.476627903E2;1.458784753E-2
4.476836244E2;1.406903287E-2
4.477044585E2;1.339762566E-2
4.477252926E2;1.260414441E-2
4.477461267E2;1.147495956E-2
4.477669609E2;9.430219428E-3
4.477877950E2;6.836146123E-3
4.478086291E2;3.692739647E-3
4.478294632E2;2.136295663E-4
4.478502974E2;-3.082369457E-3
4.478711315E2;-5.829035310E-3
4.478919656E2;-7.965330973E-3
4.479127997E2;-9.033478805E-3
4.479336338E2;-9.125034333E-3
4.479544680E2;-8.545182653E-3
4.479753021E2;-7.873775445E-3
4.479961362E2;-7.141331217E-3
4.480169703E2;-6.866664632E-3
4.480378045E2;-7.171849727E-3
4.480586386E2;-7.629627369E-3
4.480794727E2;-8.209479049E-3
4.481003068E2;-8.789330729E-3
4.481211410E2;-9.216589862E-3
4.481419751E2;-9.308145390E-3
4.481628092E2;-9.369182409E-3
4.481836433E2;-9.765923032E-3
4.482044774E2;-1.028473769E-2
4.482253116E2;-1.135288553E-2
4.482461457E2;-1.226844081E-2
4.482669798E2;-1.339762566E-2
4.482878139E2;-1.449629200E-2
4.483086481E2;-1.596118046E-2
4.483294822E2;-1.712088382E-2
4.483503163E2;-1.852473525E-2
4.483711504E2;-1.980651265E-2
4.483919845E2;-2.041688284E-2
4.484128187E2;-2.047791986E-2
4.484336528E2;-1.959288308E-2
4.484544869E2;-1.794488357E-2
4.484753210E2;-1.574755089E-2
4.484961552E2;-1.364177374E-2
4.485169893E2;-1.150547807E-2
4.485378234E2;-9.338663900E-3
4.485586575E2;-7.721182897E-3
4.485794916E2;-6.439405499E-3
4.486003258E2;-5.401776177E-3
4.486211599E2;-4.242072817E-3
4.486419940E2;-3.143406476E-3
4.486628281E2;-2.777184362E-3
4.486836623E2;-2.868739891E-3
4.487044964E2;-2.960295419E-3
4.487253305E2;-3.204443495E-3
4.487461646E2;-3.173924986E-3
4.487669987E2;-2.899258400E-3
4.487878329E2;-2.471999268E-3
4.488086670E2;-1.586962493E-3
4.488295011E2;-8.545182653E-4
4.488503352E2;-3.357036042E-4
4.488711694E2;4.577776421E-4
4.488920035E2;1.312295907E-3
4.489128376E2;2.258369701E-3
4.489336717E2;3.784295175E-3
4.489545059E2;5.584887234E-3
4.489753400E2;7.629627369E-3
4.489961741E2;9.491256447E-3
4.490170082E2;1.098666341E-2
4.490378423E2;1.199377422E-2
4.490586765E2;1.260414441E-2
4.490795106E2;1.263466292E-2
4.491003447E2;1.275673696E-2
4.491211788E2;1.275673696E-2
4.491420130E2;1.290932951E-2
4.491628471E2;1.287881100E-2
4.491836812E2;1.245155187E-2
4.492045153E2;1.229895932E-2
4.492253494E2;1.159703360E-2
4.492461836E2;1.126133000E-2
4.492670177E2;1.113925596E-2
4.492878518E2;1.129184851E-2
4.493086859E2;1.199377422E-2
4.493295201E2;1.287881100E-2
4.493503542E2;1.327555162E-2
4.493711883E2;1.364177374E-2
4.493920224E2;1.370281075E-2
4.494128565E2;1.364177374E-2
4.494336907E2;1.345866268E-2
4.494545248E2;1.333658864E-2
4.494753589E2;1.300088504E-2
4.494961930E2;1.275673696E-2
4.495170272E2;1.235999634E-2
4.495378613E2;1.174962615E-2
4.495586954E2;1.092562639E-2
4.495795295E2;1.025421918E-2
4.496003637E2;9.704886013E-3
4.496211978E2;9.521774957E-3
4.496420319E2;9.491256447E-3
4.496628660E2;9.704886013E-3
4.496837001E2;1.010162664E-2
4.497045343E2;1.058992279E-2
4.497253684E2;1.071199683E-2
4.497462025E2;1.037629322E-2
4.497670366E2;1.007110813E-2
4.497878708E2;9.399700919E-3
4.498087049E2;8.911404767E-3
4.498295390E2;7.995849483E-3
4.498503731E2;6.897183142E-3
4.498712072E2;5.706961272E-3
4.498920414E2;4.058961760E-3
4.499128755E2;2.197332682E-3
4.499337096E2;3.051850948E-5
4.499545437E2;-2.044740135E-3
4.499753779E2;-3.967406232E-3
4.499962120E2;-5.554368725E-3
4.500170461E2;-6.653035066E-3
4.500378802E2;-7.965330973E-3
4.500587143E2;-8.697775201E-3
4.500795485E2;-8.972441786E-3
4.501003826E2;-9.186071352E-3
4.501212167E2;-9.002960295E-3
4.501420508E2;-8.606219672E-3
4.501628850E2;-8.270516068E-3
4.501837191E2;-7.995849483E-3
4.502045532E2;-7.660145878E-3
4.502253873E2;-7.873775445E-3
4.502462214E2;-8.148442030E-3
4.502670556E2;-8.758812220E-3
4.502878897E2;-1.001007111E-2
4.503087238E2;-1.147495956E-2
4.503295579E2;-1.370281075E-2
4.503503921E2;-1.605273598E-2
4.503712262E2;-1.849421674E-2
4.503920603E2;-2.081362346E-2
4.504128944E2;-2.243110446E-2
4.504337286E2;-2.362132633E-2
4.504545627E2;-2.328562273E-2
4.504753968E2;-2.237006745E-2
4.504962309E2;-2.059999390E-2
4.505170650E2;-1.815851314E-2
4.505378992E2;-1.522873623E-2
4.505587333E2;-1.202429273E-2
4.505795674E2;-9.216589862E-3
4.506004015E2;-7.080294198E-3
4.506212357E2;-5.249183630E-3
4.506420698E2;-3.631702628E-3
4.506629039E2;-1.861629078E-3
4.506837380E2;-8.850367748E-4
4.507045721E2;2.441480758E-4
4.507254063E2;1.434369945E-3
4.507462404E2;1.831110569E-3
4.507670745E2;2.075258644E-3
4.507879086E2;1.464888455E-3
4.508087428E2;5.188146611E-4
4.508295769E2;-6.103701895E-4
4.508504110E2;-1.678518021E-3
4.508712451E2;-2.502517777E-3
4.508920792E2;-3.021332438E-3
4.509129134E2;-2.716147343E-3
4.509337475E2;-2.014221625E-3
4.509545816E2;-2.746665853E-4
4.509754157E2;2.471999268E-3
4.509962499E2;6.103701895E-3
4.510170840E2;1.080355235E-2
4.510379181E2;1.538132878E-2
4.510587522E2;1.937925352E-2
4.510795863E2;2.249214148E-2
4.511004205E2;2.471999268E-2
4.511212546E2;2.584917753E-2
4.511420887E2;2.569658498E-2
4.511629228E2;2.539139988E-2
4.511837570E2;2.481154820E-2
4.512045911E2;2.420117801E-2
4.512254252E2;2.389599292E-2
4.512462593E2;2.362132633E-2
4.512670935E2;2.346873379E-2
4.512879276E2;2.307199316E-2
4.513087617E2;2.285836360E-2
4.513295958E2;2.270577105E-2
4.513504299E2;2.261421552E-2
4.513712641E2;2.301095614E-2
4.513920982E2;2.346873379E-2
4.514129323E2;2.459791864E-2
4.514337664E2;2.612384411E-2
4.514546006E2;2.813806574E-2
4.514754347E2;3.079317606E-2
4.514962688E2;3.329569384E-2
4.515171029E2;3.595080416E-2
4.515379370E2;3.833124790E-2
4.515587712E2;4.016235847E-2
4.515796053E2;4.104739525E-2
4.516004394E2;4.095583972E-2
4.516212735E2;3.985717338E-2
4.516421077E2;3.759880367E-2
4.516629418E2;3.466902676E-2
4.516837759E2;3.122043519E-2
4.517046100E2;2.822962127E-2
4.517254441E2;2.533036287E-2
4.517462783E2;2.276680807E-2
4.517671124E2;2.072206793E-2
4.517879465E2;1.922666097E-2
4.518087806E2;1.779229102E-2
4.518296148E2;1.660206915E-2
4.518504489E2;1.580858791E-2
4.518712830E2;1.532029176E-2
4.518921171E2;1.516769921E-2
4.519129512E2;1.477095859E-2
4.519337854E2;1.464888455E-2
4.519546195E2;1.486251411E-2
4.519754536E2;1.495406964E-2
4.519962877E2;1.498458815E-2
4.520171219E2;1.474044008E-2
4.520379560E2;1.446577349E-2
4.520587901E2;1.330607013E-2
4.520796242E2;1.153599658E-2
4.521004584E2;8.972441786E-3
4.521212925E2;5.920590838E-3
4.521421266E2;2.807702872E-3
4.521629607E2;-8.850367748E-4
4.521837948E2;-4.303109836E-3
4.522046290E2;-7.171849727E-3
4.522254631E2;-9.704886013E-3
4.522462972E2;-1.132236702E-2
4.522671313E2;-1.245155187E-2
4.522879655E2;-1.290932951E-2
4.523087996E2;-1.284829249E-2
4.523296337E2;-1.263466292E-2
4.523504678E2;-1.187170019E-2
4.523713019E2;-1.092562639E-2
4.523921361E2;-9.704886013E-3
4.524129702E2;-8.148442030E-3
4.524338043E2;-6.836146123E-3
4.524546384E2;-5.737479781E-3
4.524754726E2;-5.340739158E-3
4.524963067E2;-5.432294687E-3
4.525171408E2;-6.408886990E-3
4.525379749E2;-8.056886502E-3
4.525588090E2;-1.001007111E-2
4.525796432E2;-1.205481124E-2
4.526004773E2;-1.419110691E-2
4.526213114E2;-1.638843959E-2
4.526421455E2;-1.864680929E-2
4.526629797E2;-2.117984558E-2
4.526838138E2;-2.334665975E-2
4.527046479E2;-2.487258522E-2
4.527254820E2;-2.612384411E-2
4.527463161E2;-2.652058473E-2
4.527671503E2;-2.621539964E-2
